2024-06-17 15:11:32.8547 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 143.5439ms 
2024-06-17 15:11:32.9544 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - 
2024-06-17 15:11:32.9648 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 8.6006ms 
2024-06-17 15:11:33.6729 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 1085715.5501ms 
2024-06-17 15:11:34.7853 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) - Validation state: Valid 
2024-06-17 15:11:41.7235 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 6925.5106ms. 
2024-06-17 15:11:41.7404 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[LogLevel_Demo.Model.ORD01, LogLevel_Demo, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'. 
2024-06-17 15:11:41.7737 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) in 1183196.3333ms 
2024-06-17 15:11:41.7737 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo)' 
2024-06-17 15:11:41.7737 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/api/CLOrderService/GetAllOrderDetails - - - 0 - application/json;+charset=utf-8 1183290.9513ms 
2024-06-17 15:11:48.5691 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/api/CLOrderService/GetAllOrderDetails - - 
