2024-05-30 11:08:36.4668 | INFO | Job_Finder.Program | Hello 
2024-05-30 11:08:49.9841 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/index.html - - 
2024-05-30 11:08:51.5366 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/index.html - - - 200 - text/html;charset=utf-8 1568.5010ms 
2024-05-30 11:08:51.6670 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - 
2024-05-30 11:08:51.6670 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_vs/browserLink - - 
2024-05-30 11:08:51.6670 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - - 200 11990 application/javascript;+charset=utf-8 5.7140ms 
2024-05-30 11:08:52.3956 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 725.6021ms 
2024-05-30 11:08:52.6088 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - 
2024-05-30 11:08:53.8616 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 1253.2705ms 
2024-05-30 11:10:25.4630 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 120 
2024-05-30 11:10:25.5579 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 11:10:25.6033 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Registration", controller = "CLRegistration"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Registration(Job_Finder.Model.DTO.DtoUSR01) on controller Job_Finder.Controllers.CLRegistrationController (Job_Finder). 
2024-05-30 11:10:25.7117 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) - Validation state: Valid 
2024-05-30 11:10:28.5474 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) in 2943.677ms 
2024-05-30 11:10:28.5536 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 11:10:29.0083 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 120 - 500 - text/plain;+charset=utf-8 3537.3079ms 
2024-05-30 12:07:38.5193 | INFO | Job_Finder.Program | Hello 
2024-05-30 12:07:52.3077 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/index.html - - 
2024-05-30 12:07:53.3623 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_vs/browserLink - - 
2024-05-30 12:07:53.4005 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - 
2024-05-30 12:07:53.5200 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/index.html - - - 200 - text/html;charset=utf-8 1066.7166ms 
2024-05-30 12:07:53.6120 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - - 200 11990 application/javascript;+charset=utf-8 211.6531ms 
2024-05-30 12:07:55.0689 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 1695.0943ms 
2024-05-30 12:07:55.5170 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - 
2024-05-30 12:07:57.0563 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 1540.2568ms 
2024-05-30 12:08:52.2577 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 114 
2024-05-30 12:08:52.3504 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:08:52.4012 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Registration", controller = "CLRegistration"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Registration(Job_Finder.Model.DTO.DtoUSR01) on controller Job_Finder.Controllers.CLRegistrationController (Job_Finder). 
2024-05-30 12:08:52.5681 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) - Validation state: Valid 
2024-05-30 12:09:26.0930 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) in 33683.5123ms 
2024-05-30 12:09:26.0930 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:09:26.6356 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 114 - 500 - text/plain;+charset=utf-8 34377.2483ms 
2024-05-30 12:09:36.2196 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 115 
2024-05-30 12:09:36.2231 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:09:36.2231 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Registration", controller = "CLRegistration"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Registration(Job_Finder.Model.DTO.DtoUSR01) on controller Job_Finder.Controllers.CLRegistrationController (Job_Finder). 
2024-05-30 12:09:36.2388 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) - Validation state: Valid 
2024-05-30 12:09:38.6690 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) in 2441.0687ms 
2024-05-30 12:09:38.6690 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:09:38.6773 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 115 - 500 - text/plain;+charset=utf-8 2467.3097ms 
2024-05-30 12:09:46.4273 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 115 
2024-05-30 12:09:46.4273 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:09:46.4273 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Registration", controller = "CLRegistration"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Registration(Job_Finder.Model.DTO.DtoUSR01) on controller Job_Finder.Controllers.CLRegistrationController (Job_Finder). 
2024-05-30 12:09:46.4273 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) - Validation state: Valid 
2024-05-30 12:10:35.8527 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) in 49433.1778ms 
2024-05-30 12:10:35.9043 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
2024-05-30 12:10:35.9432 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 115 - 500 - text/plain;+charset=utf-8 49526.4911ms 
2024-05-30 12:10:47.9363 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7170/api/CLRegistration/Registration application/json-patch+json 115 
2024-05-30 12:10:47.9363 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder)' 
