2024-05-22 15:06:01.8903 | INFO | Job_Finder.Program | Hello 
2024-05-22 15:06:13.1904 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/index.html - - 
2024-05-22 15:06:14.1562 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/index.html - - - 200 - text/html;charset=utf-8 963.1947ms 
2024-05-22 15:06:14.3824 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_vs/browserLink - - 
2024-05-22 15:06:14.3824 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - 
2024-05-22 15:06:14.3919 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_framework/aspnetcore-browser-refresh.js - - - 200 11990 application/javascript;+charset=utf-8 11.3592ms 
2024-05-22 15:06:14.5162 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 126.3811ms 
2024-05-22 15:06:14.6171 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - 
2024-05-22 15:06:15.3963 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 780.4583ms 
2024-05-22 15:07:35.5075 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/api/CLJOL01/GetJobListings?location=Mumbai&type=ft&compnyId=1 - - 
2024-05-22 15:07:35.5987 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLJOL01Controller.GetJobListings (Job_Finder)' 
2024-05-22 15:07:35.6469 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "GetJobListings", controller = "CLJOL01"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetJobListings(System.String, System.String, Int32) on controller Job_Finder.Controllers.CLJOL01Controller (Job_Finder). 
2024-05-22 15:07:35.6669 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization failed for the request at filter 'Job_Finder.Filters.AuthenticationFilter'. 
2024-05-22 15:07:35.6745 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing ObjectResult, writing value of type 'System.Int32'. 
2024-05-22 15:07:35.6946 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLJOL01Controller.GetJobListings (Job_Finder) in 47.4791ms 
2024-05-22 15:07:35.6946 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Job_Finder.Controllers.CLJOL01Controller.GetJobListings (Job_Finder)' 
2024-05-22 15:07:35.6946 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7170/api/CLJOL01/GetJobListings?location=Mumbai&type=ft&compnyId=1 - - - 200 - application/json;+charset=utf-8 192.7443ms 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7170/api/CLJOL01/GetJobListings?location=Mumbai&type=ft&compnyId=1 - - 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Job_Finder.Controllers.CLJOL01Controller.GetJobListings (Job_Finder)' 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "GetJobListings", controller = "CLJOL01"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetJobListings(System.String, System.String, Int32) on controller Job_Finder.Controllers.CLJOL01Controller (Job_Finder). 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization failed for the request at filter 'Job_Finder.Filters.AuthenticationFilter'. 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing ObjectResult, writing value of type 'System.Int32'. 
2024-05-22 15:07:40.4396 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Job_Finder.Controllers.CLJOL01Controller.GetJobListings (Job_Finder) in 1.1374ms 
