2024-06-17 14:49:54.8445 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8445 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8445 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8445 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.8577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9061 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9061 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9061 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:54.9757 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-06-17 14:49:55.1526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-06-17 14:49:55.2904 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:49:55.3001 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:49:55.3246 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 9 with length 97 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:49:55.3569 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:49:55.3845 | TRACE | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Range header's value is empty. 
2024-06-17 14:49:55.3885 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 9 with length 107 and flags END_HEADERS. 
2024-06-17 14:49:55.3885 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 9 with length 628 and flags NONE. 
2024-06-17 14:49:55.3885 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM. 
2024-06-17 14:49:55.6828 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS. 
2024-06-17 14:49:55.6828 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 7 with length 3391 and flags NONE. 
2024-06-17 14:49:55.6828 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-06-17 14:51:23.8369 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 11 with length 46 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:51:23.8369 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received PING frame for stream ID 0 with length 8 and flags NONE. 
2024-06-17 14:51:23.8369 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending PING frame for stream ID 0 with length 8 and flags ACK. 
2024-06-17 14:51:23.8369 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:51:23.8511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 11 with length 34 and flags END_HEADERS. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 1024 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 1024 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 1024 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 1024 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 995 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 65 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 16 and flags NONE. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 11 with length 0 and flags END_STREAM. 
2024-06-17 14:51:23.8575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 14:51:23.8820 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 13 with length 52 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 15 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 13 with length 13 and flags END_HEADERS. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 13 with length 11996 and flags NONE. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:51:23.8927 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 13 with length 0 and flags END_STREAM. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 15 with length 66 and flags END_HEADERS. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 9986 and flags NONE. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 10240 and flags NONE. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 10240 and flags NONE. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 10240 and flags NONE. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 10240 and flags NONE. 
2024-06-17 14:51:23.9055 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 15 with length 10240 and flags NONE. 
