2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 5 with length 79 and flags END_HEADERS. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 7 with length 58 and flags END_HEADERS. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2592 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Range header's value is empty. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2777 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 12560 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 9 with length 34 and flags END_HEADERS. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.2879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
