2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.5240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-05-10 10:36:20.6643 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-05-10 10:36:21.0461 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 10:36:21.0461 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 10:36:22.0658 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-05-10 10:36:22.0658 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
