2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
