2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9499 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
